Items,Lưu Thị Bích Hương,Hồ Vĩnh Thắng,Trần Xuân Sang,Hồ Sĩ Đàm,Lê Mạnh Thạnh
"Vụ bêu tên con vì bố mẹ không đóng phí: ""Phải xin lỗi dân ngay!"" ",0,1,0,0,0
"Vụ bé gái bị xâm hại, uất ức tự tử: Thủ tướng yêu cầu điều tra ",0,1,1,1,1
Trẻ bị bạo lực vì gia đình thiếu kiến thức nuôi dạy con,0,1,0,0,0
"Sớm giải quyết dứt điểm các hồ sơ về bạo lực, xâm hại trẻ em",0,1,1,1,0
"Bố mẹ ly hôn, tranh giành nhau quyền nuôi con: Nước mắt trẻ em….",0,1,0,0,1
Người bạo hành trẻ dã man ở Đà Nẵng: Có bằng cao đẳng sư phạm.,0,1,1,1,1
Nước giàu cũng xảy ra tình trạng bất bình đẳng về giáo dục,0,0,0,0,0
Cô giáo 'choáng' khi học sinh phát biểu: Có người 80 tuổi nhưng thực ra họ chết từ 15,0,0,0,0,0
9 dấu hiệu cha mẹ bao bọc con quá mức,0,0,0,0,0
Bắt khẩn cấp gã cha dượng nhiều lần hiếp dâm con gái riêng của vợ,0,1,1,1,1
Thảm họa khí hậu đe dọa nghiêm trọng trẻ em khu vực Đông Á và Thái Bình Dương,0,0,0,0,0
Đuối nước trẻ em: Nhiều mô hình xóa “mù bơi” hiệu quả,0,0,0,0,0
Hiểm họa “tiền mất tật mang” từ lớp tiền tiểu học trên mạng,0,0,0,0,0
Nguy hại khi “phó thác” con cho thiết bị công nghệ,0,0,0,0,0
“Ba bỏ mẹ từ khi con mới sinh ra…”,0,1,0,0,0
"Kiểm tra, xác minh vụ việc 'bé gái bị đánh, làm nhục ở huyện Chương Mỹ'",0,1,1,1,1
"""Ảo tung chảo"" ngôn ngữ chat, tự chế và trào lưu tiếng lóng mạng xã hội",0,0,0,0,0
"Lũ lụt, học sinh Hà Nội nhiều nơi có nghỉ học hay không?",0,0,0,0,0
"Bác sĩ cảnh báo trẻ bị cong cột sống hình chữ C, S vì nhiều thói quen",0,0,0,0,0
Nhức nhối nạn “quái xế”,0,0,0,0,0
"""Ma trận"" các khóa dạy làm cha mẹ thông thái, không ít người mất tiền oan",0,0,0,0,0
"Chưa thành niên phạm nhiều tội giết người, hiếp dâm, đề xuất phạt 18 năm tù",0,1,1,1,1
"Học sinh còn chủ quan, không đội mũ bảo hiểm khi tham gia giao thông",0,0,0,0,0
"Dạy con lòng trắc ẩn, biết hướng thiện",0,0,0,0,0
Giáo dục thế hệ trẻ bảo vệ tầng ozone,0,0,0,0,0
Những “hạt giống đỏ” trong trường học,0,0,0,0,0
"Những nhà giáo dục nổi tiếng các thời đại, Nguyễn Thanh Thủy",0,0,0,0,0
MỘT SỐ PHƯƠNG PHÁP DẠY HỌC HIỆN ĐẠI,0,0,0,0,0
CÁC VÍ DỤ VÀ DẠNG BÀI TẬP CON LẮC ĐƠN TRONG CHUYÊN ĐỀ DAO ĐỘNG CƠ,0,0,0,0,0
Bài học: Sử dụng công nghệ kĩ thuật số có đạo đức và văn hóa,0,0,0,0,0
Cách mạng tư sản Pháp cuối thế kỉ XVIII,0,0,0,0,0
Tính chất hóa học của oxit. Khái quát về sự phân loại oxit,0,0,0,0,0
Kỹ thuật trồng cây chôm chôm,0,0,0,0,0
Cơ cấu hệ thống giáo dục quốc dân,0,0,0,0,0
trình bày đặc điểm của vỏ trái đất đối với đời sống và hoạt động của con người,0,0,0,0,0
Tìm hiểu và mô tả kĩ thuật câu một loài thủy sản phổ biến,0,0,0,0,0
Những việc nên làm và không nên làm để bảo vệ môi trường sống của các loài thủy sản,0,0,0,0,0